dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
4031,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2/1/11,,2007,1946,1001,945,0,,,yes, ,yes,yes,yes,yes,,,,4/11/12 18:59,2/6/14 23:46,7/10/12 13:33,58:53.0,,,11/3/12 19:00,5/31/15 2:51,,,,,,,,yes,,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,yes,,yes,yes,yes,,,,,,yes,yes,,,,,,,,,,yes,,,,,yes,,,,,
4228,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,2/1/11,,2008,1240,620,620,0,,,yes, ,yes,yes,yes,yes,,,,4/11/12 18:59,5/10/13 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4336,yes,Single-Family Home,,yes,yes,yes,,CCET - Control,,Austin,Texas,yes,2/1/11,,2009,2090,1168,922,0,,,yes, ,yes,yes, ,yes,,,,4/11/12 18:59,5/10/13 16:29,,,,,8/14/13 0:00,5/31/15 2:48,yes,,,,,,,,,,,,yes,yes,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,
4421,yes,Town Home,,yes,yes,,,CCET - Control,,Austin,Texas,,2/1/11,,2008,1185,602,583,0,,,yes, ,yes,yes,yes, ,,,,6/18/12 21:04,5/10/13 16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4447,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2/1/11,,2010,2713,1514,1199,0,,,yes, ,yes, , ,yes,,,,4/12/12 18:45,5/10/13 16:25,,,,,5/2/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,yes,,yes,,,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
4590,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,2/1/11,,2008,2669,1455,1214,0,,,yes, ,yes,yes, ,yes,,,,4/11/12 18:57,5/10/13 16:29,,,,,7/12/13 19:00,5/31/15 2:56,yes,,,,,,,yes,yes,,,,,yes,,,,yes,,yes,yes,,yes,,,,,yes,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,yes,,,,,yes,,,,,
4671,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,2/1/11,,2008,1240,620,620,0,,,yes, , ,yes, , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4726,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2009,1994,1001,993,0,,,yes, ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4767,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2/1/11,,2008,2710,1508,1202,0,,,yes, , , ,yes, ,,,,4/11/12 18:59,2/6/14 22:23,5/1/12 13:00,43:43.4,,,7/10/12 19:00,5/31/15 2:37,yes,,,,,,,,,,,,yes,yes,,yes,,yes,,yes,,yes,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,yes,,yes,,,yes,,,,,
4998,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,,2/1/11,,2008,2710,1508,1202,0,,,yes, ,yes,yes,yes,yes,,,,4/11/12 18:59,2/6/14 22:55,5/1/12 13:00,59:34.0,,,9/16/12 19:00,5/31/15 3:59,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,,yes,,yes,,,,,yes,,,,,yes,,yes,yes,yes,yes,yes,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,yes,,,
5193,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,2001,1435,566,0,,,yes, , , , , ,,,,4/11/12 18:58,5/10/13 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5275,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2/1/11,,2007,2132,866,1266,0,,,yes, , , , ,yes,,,,4/12/12 14:55,5/10/13 16:26,,,,,5/2/12 19:00,5/31/15 2:59,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,yes,yes,,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,yes,yes,,,,,yes,,,,,
5403,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2007,1720,1720,0,0,,,yes,yes,yes,yes, ,yes,,9/12/14 16:30,9/12/14 16:35,4/12/12 17:11,2/7/14 0:02,5/1/12 12:00,57:38.1,,,5/22/12 19:00,5/31/15 2:59,yes,,,,,,,yes,yes,,,,yes,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,yes,yes,,,,,,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,,,,
5545,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2/1/11,,2009,1994,1001,993,0,,,yes, ,yes,yes, , ,,,,4/11/12 18:57,5/10/13 16:29,,,,,7/1/13 19:00,5/31/15 2:57,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,yes,yes,,,,yes,,,yes,yes,yes,,,,,,,,yes,,,,,,,,,,yes,yes,,,,,yes,,,,,
5785,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2/1/11,,2007,1842,1379,463,0,,,yes, ,yes, ,yes, ,,3/27/15 15:00,4/2/15 6:59,4/11/12 18:59,2/6/14 23:28,7/10/12 13:00,49:33.8,,,5/2/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
5972,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2/1/11,,2008,2843,1457,1386,0,,,yes, ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,10/18/12 19:00,5/31/15 2:59,yes,,,,,,,yes,,,,,,yes,,yes,,yes,yes,,yes,,yes,,,,yes,yes,,,,,,,,,yes,yes,,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,yes,,,
6423,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2/1/11,,2008,1544,1096,448,0,,,yes, ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,
6830,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,2075,2075,0,0,,,yes, ,yes, ,yes, ,,,,4/11/12 18:59,5/10/13 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6836,yes,Single-Family Home,,yes,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,1217,1217,0,0,,,yes,yes,yes,yes,yes,yes,,3/27/15 13:48,3/27/15 14:59,4/11/12 18:39,5/10/13 16:29,,,,,3/26/14 0:00,5/31/15 2:59,yes,,,,,yes,,yes,,,,,yes,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,yes,,yes,,,,,,,,,,yes,yes,,,,,yes,,,,,
6990,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,2345,1385,960,0,,,yes, ,yes, , ,yes,,,,4/11/12 18:56,5/10/13 16:28,,,,,7/13/12 11:45,5/31/15 2:59,yes,,,,,yes,,yes,,,,,yes,yes,,yes,,yes,,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,yes,,,,,yes,,,,,
7024,yes,Town Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,1576,778,798,0,,,yes, ,yes, ,yes, ,2,,,4/11/12 18:58,5/10/13 15:26,,,,,2/12/14 18:00,5/31/15 3:59,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,yes,,,yes,,,,,yes,,,,,,,yes,yes,,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,yes,,,,,
7036,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,2/1/11,,2007,2075,2075,0,0,,,yes, ,yes, , , ,,,,4/11/12 18:57,5/10/13 16:29,,,,,8/29/14 19:00,1/25/15 23:59,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,
7113,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2009,2241,2241,0,0,,,yes, ,yes, ,yes,yes,,,,4/11/12 18:59,5/10/13 16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7504,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2/1/11,,,,,,,,,yes, , , , , ,,,,4/11/12 18:59,5/10/13 16:23,,,,,12/11/12 18:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
7536,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,2710,1508,1202,0,,,yes, ,yes, , , ,,,,4/11/12 18:58,5/10/13 16:29,,,,,10/25/12 19:00,5/31/15 2:59,yes,,,,,,,yes,yes,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,yes,,,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,,,,
7680,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2/1/11,,2008,2006,1440,566,0,,,yes, ,yes, , ,yes,,,,4/11/12 18:58,5/10/13 16:29,,,,,11/6/12 18:00,5/31/15 2:57,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,
7731,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2/1/11,,2007,2194,1423,771,0,,,yes, ,yes,yes,yes,yes,,,,4/21/12 13:58,5/10/13 16:15,,,,,5/2/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
7940,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2009,2214,1433,781,0,,,yes, ,yes,yes, , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,12/11/12 18:00,5/31/15 2:47,yes,,,,,yes,,yes,,,,,yes,yes,,,,yes,,yes,,,yes,,yes,,yes,yes,,,,,,,yes,yes,,,,,,,,,yes,yes,,,,,,,,,,yes,,,,,yes,,,,,
8084,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2/1/11,,2008,2649,1639,1010,0,,,yes, ,yes,yes, ,yes,,,,4/11/12 18:58,5/10/13 16:28,,,,,5/2/12 19:00,5/30/15 6:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,
8236,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2/1/11,,2008,1994,1001,993,0,,,yes, ,yes, ,yes, ,,,,4/11/12 18:58,5/10/13 16:29,,,,,11/17/12 18:00,5/31/15 2:59,yes,,,,,,,yes,yes,,,,,yes,,,,yes,,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,yes,yes,,,,,,,yes,yes,,,,,,,,,,yes,,,,,yes,,,,,
8317,yes,Town Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2/1/11,,2008,1576,778,798,0,,,yes, ,yes,yes,yes, ,,,,4/11/12 18:57,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
8767,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2/1/11,,2009,2240,1478,762,0,,,yes, , , , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,3/14/14 0:00,5/31/15 3:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
8829,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,2669,1455,1214,0,,,yes, ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/15/12 19:00,5/31/15 2:33,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,
8890,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,2194,1423,771,0,0,0,yes, ,yes, , , ,,9/30/14 9:52,5/31/15 2:59,4/11/12 18:57,2/6/14 21:39,5/1/12 13:00,33:11.8,,,5/2/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
9121,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2007,1981,788,1193,0,,,yes, ,yes, , , ,,,,4/12/12 17:18,5/10/13 16:25,,,,,9/17/12 19:00,5/31/15 3:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,
9134,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,2/1/11,,2007,2122,1162,960,0,,,yes, ,yes, ,yes, ,,,,4/11/12 18:58,5/10/13 16:27,,,,,4/30/14 0:00,5/31/15 2:51,yes,,,,,,,,,,,,,,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,yes,,,,,yes,,,,,
9160,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2/1/11,,2008,2310,1385,925,0,,,yes, ,yes,yes, , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 2:54,yes,,,,,,,,,,,,,yes,,,,yes,,,yes,,yes,,,,yes,yes,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,,,,
9237,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,1720,1720,0,0,,,yes, , , , , ,,,,4/11/12 18:59,5/10/13 16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9729,yes,Single-Family Home,,yes,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,2196,1424,772,0,,,yes, ,yes, ,yes,yes,,,,4/11/12 18:57,9/18/13 18:26,7/10/12 9:00,48:36.1,,,10/22/12 19:00,5/31/15 3:59,yes,,,,,yes,,,,,,,yes,yes,,,,,,yes,,,yes,,yes,,yes,yes,,,,,,,yes,yes,,,,,,,yes,,yes,yes,,,,,,,,,,yes,,yes,,yes,yes,,,,,
624,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,3/19/11,,1948,2227,1795,432,0,0,0, ,yes, ,yes,yes,yes,,,,,,,,,,10/27/12 19:00,5/31/15 2:59,yes,,,,,,,yes,,,,,yes,yes,,,,yes,,yes,,,yes,,,,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,yes,,,,,,,yes,,,,,,yes,yes,,,,,yes,,,yes,,
990,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,,,,,,,, , , , , ,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,,,,,,,, , , ,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,1948,1512,1512,0,0,0,0, ,yes,yes,yes,yes, ,1,,,,,,,,,10/11/12 19:00,5/31/15 2:59,yes,,,,,,,yes,yes,,,,yes,,,,,,,,,,yes,,yes,,,yes,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
1994,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,2011,2152,1315,837,0,0,0, , ,yes, , , ,,,,,,,,,,9/10/14 0:00,5/31/15 2:31,yes,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
2004,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,,3/19/11,,1970,1974,1974,0,0,0,0, , , , , , ,,,,4/11/12 18:10,5/10/13 1:56,,,,,2/21/13 18:00,5/31/15 3:59,yes,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,,yes,,,,yes,,,yes,,,,,,,,yes,,,,,,,,,,,,,yes,,,,,yes,,,,,
2156,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,,3/19/11,,1983,1743,1743,0,0,0,0, ,yes, ,yes,yes, ,1,,,,,,,,,10/31/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,yes,,,,yes,,yes,,,yes,,,,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,yes,yes,,,,,yes,,,yes,,
2199,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,yes,3/19/11,,2002,1382,1382,0,0,0,0, , ,yes, , , ,1,,,,,,,,,5/15/12 19:00,5/31/15 3:59,yes,,,,,,,yes,yes,,,,,,,,,,,yes,,,yes,,,,yes,yes,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
2365,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,1930,2540,1890,650,0,0,0, ,yes, ,yes,yes,yes,2,,,,,,,,,4/28/13 19:00,5/31/15 2:37,yes,,,,,,,,,,,,,,,,,yes,yes,,,,yes,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
2378,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,1947,1652,1652,0,0,0,0, , , , ,yes,yes,1,,,1/28/13 16:48,5/9/13 22:32,,,,,4/26/13 19:00,5/31/15 2:48,yes,,,,,,,,,,,,,,yes,,,,,,,,yes,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
2749,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,,,,,,,,yes, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,yes,Single-Family Home,,,yes,,,CCET - Text Message,,Austin,Texas,,3/19/11,,,,,,,,, , , , , , ,,,,,,,,,,2/21/13 18:00,5/31/15 2:45,yes,,,,,yes,,,,,,,,yes,,,,yes,,yes,,,yes,,,,,yes,,,,,,,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,
2953,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,1957,1482,1482,0,0,0,0, ,yes,yes,yes,yes,yes,1,,,,,,,,,2/15/13 18:00,5/31/15 2:52,yes,,,,,,,,,,,,,yes,,yes,,,,yes,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
3531,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,1954,1176,1176,0,0,0,0, , , , , ,yes,1,,,,,,,,,2/27/13 18:00,5/31/15 3:59,yes,,,,,yes,,,,,,,,yes,,,,,,,yes,,yes,,,,,yes,,,,,,,,,,,,,,,yes,,,yes,yes,,,,,,,,,,,,,,yes,,,,,
4220,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,,3/19/11,,1930,1570,1570,0,0,0,0, , , , , , ,,,,,,,,,,7/17/13 19:00,5/31/15 2:51,yes,,,,,,,,,,,,,,,,,yes,,yes,,,yes,,,,,yes,,,,,,,yes,,,,,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,,,,
4298,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,,3/19/11,,1947,953,953,0,0,0,0, ,yes,yes,yes,yes, ,,,,,,,,,,2/22/13 18:00,5/31/15 2:59,yes,,,,,yes,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,yes,,,,,,,,,,,,,yes,,yes,,,,,,,,yes,,,,,,yes,,,,,
4395,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,1947,1448,1448,0,0,0,0, , ,yes,yes, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4922,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,3/19/11,,1985,2236,956,1280,0,0,0, ,yes, ,yes,yes,yes,1,,,,,,,,,2/14/13 18:00,5/31/15 2:49,yes,,,,,yes,,yes,yes,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
5026,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,2006,1583,1070,513,0,0,0, , , , ,yes,yes,2,,,,,,,,,2/28/13 18:00,5/31/15 2:59,yes,,,,,,,yes,,,,,,yes,,,,yes,,yes,,yes,yes,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,yes,,,,,
5035,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,3/19/11,,,,,,,,, , , , , , ,,,,,,,,,,8/19/14 0:00,5/31/15 3:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
5806,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,2006,1912,914,998,0,0,0, , ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5968,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6180,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,3/19/11,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6941,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,yes,3/19/11,,2007,2638,1520,0,0,0,1118, ,yes,yes,yes, ,yes,,,,,,,,,,10/30/12 19:00,5/31/15 2:59,yes,yes,,,,,,yes,yes,,,,yes,,,,,yes,,yes,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
7335,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,2006,2441,1593,0,0,0,848, , ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7390,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,,3/19/11,,1963,2046,2046,0,0,0,0, , ,yes,yes,yes, ,,,,,,,,,,5/25/13 19:00,5/31/15 3:59,yes,,,,,,,,,,,,,yes,,,,,,,yes,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
7788,yes,Single-Family Home,,,yes,,,CCET - Text Message,,Austin,Texas,yes,3/19/11,,2008,1434,717,717,0,0,0, , ,yes, , , ,2,,,,,,,,,10/24/13 19:00,5/31/15 3:59,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
7809,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7951,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,1971,2148,2148,0,0,0,0, ,yes,yes, , ,yes,2,,,,,,,,,3/13/13 0:00,5/31/15 3:59,yes,yes,,,,yes,yes,,,,,,,yes,,,,yes,yes,yes,,,yes,yes,,,,yes,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,yes,,,,,yes,,,yes,,
