"dataid";"localminute";"use";"air1";"air2";"air3";"airwindowunit1";"aquarium1";"bathroom1";"bathroom2";"bedroom1";"bedroom2";"bedroom3";"bedroom4";"bedroom5";"car1";"clotheswasher1";"clotheswasher_dryg1";"diningroom1";"diningroom2";"dishwasher1";"disposal1";"drye1";"dryg1";"freezer1";"furnace1";"furnace2";"garage1";"garage2";"gen";"grid";"heater1";"housefan1";"icemaker1";"jacuzzi1";"kitchen1";"kitchen2";"kitchenapp1";"kitchenapp2";"lights_plugs1";"lights_plugs2";"lights_plugs3";"lights_plugs4";"lights_plugs5";"lights_plugs6";"livingroom1";"livingroom2";"microwave1";"office1";"outsidelights_plugs1";"outsidelights_plugs2";"oven1";"oven2";"pool1";"pool2";"poollight1";"poolpump1";"pump1";"range1";"refrigerator1";"refrigerator2";"security1";"shed1";"sprinkler1";"unknown1";"unknown2";"unknown3";"unknown4";"utilityroom1";"venthood1";"waterheater1";"waterheater2";"winecooler1"
9803;"2013-12-12 18:42:00-06";0.180;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.180;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:43:00-06";0.178;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.178;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:44:00-06";0.172;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.172;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:45:00-06";0.173;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.173;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:46:00-06";0.180;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.180;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:47:00-06";0.175;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.175;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:48:00-06";0.174;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.174;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:49:00-06";0.175;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.175;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:50:00-06";0.180;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.180;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:51:00-06";0.219;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.219;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:52:00-06";0.324;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.324;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:53:00-06";0.339;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.339;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
9803;"2013-12-12 18:54:00-06";0.375;0;;;;;;;;;;;;;;;;;0;;;;;0.015;;;;;0.375;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;
