"dataid";"vehicle_type";"model_year";"quick_charge_port";"delivery_date";"ownership_status";"lease_end_date"
6121;"Nissan Leaf";2011;f;"2012-05-06";"Owned by Participant";""
4957;"Chevrolet Volt";;f;"2012-11-02";"Owned by Participant";""
8197;"Chevrolet Volt";;f;"2012-01-19";"Owned by Participant";""
3036;"Nissan Leaf";2011;f;"2012-06-12";"Owned by Participant";""
5357;"Nissan Leaf";;f;"2012-05-04";"Leased by Participant";""
6072;"Chevrolet Volt";2013;f;"2012-08-18";"Owned by Participant";""
9484;"Chevrolet Volt";;f;"";"";""
2769;"Chevrolet Volt";2012;f;"2012-08-09";"Leased by Participant";""
9609;"Chevrolet Volt";2012;f;"";"Owned by Participant";""
9932;"Nissan Leaf";2011;f;"";"";""
9499;"Chevrolet Volt";2013;f;"2012-07-28";"Owned by Participant";""
6139;"Chevrolet Volt";2011;f;"2012-03-18";"Leased by Participant";""
6910;"Chevrolet Volt";;f;"";"Leased by Participant";""
9937;"Chevrolet Volt";2013;f;"2012-07-30";"Owned by Participant";""
1714;"Chevrolet Volt";2012;f;"2012-03-20";"Owned by Participant";""
7875;"Chevrolet Volt";;f;"";"Leased by Participant";""
8645;"Chevrolet Volt";;f;"";"Owned by Participant";""
3044;"Chevrolet Volt";;f;"";"";""
6505;"Tesla Model S";2013;f;"";"";""
9776;"Chevrolet Volt";;f;"";"";""
9776;"Chevrolet Volt";;f;"";"";""
9776;"Nissan Leaf";;f;"";"";""
1392;"Chevrolet Volt";;f;"";"Leased by Participant";"2013-12-31"
1629;"";;f;"";"";""
3368;"";;f;"";"";""
1202;"Nissan Leaf";;f;"";"";""
2695;"Chevrolet Volt";2011;f;"";"";""
9934;"Chevrolet Volt";2012;f;"2012-05-12";"Owned by Participant";""
2695;"Chevrolet Volt";;f;"";"";""
3795;"Tesla Model S";;f;"";"";""
9934;"Nissan Leaf";2011;f;"";"Owned by Participant";""
8197;"Nissan Leaf";2011;f;"";"Owned by Participant";""
5109;"Chevrolet Volt";;f;"";"";""
9647;"Tesla Model S";2013;f;"";"";""
8424;"Nissan Leaf";2011;f;"";"";""
9090;"Chevrolet Volt";2012;f;"";"";""
7797;"Nissan Leaf";2013;f;"";"";""
5511;"Chevrolet Volt";2013;f;"";"";""
9555;"Chevrolet Volt";2014;f;"";"";""
3741;"Chevrolet Volt";2013;f;"";"";""
5809;"Chevrolet Volt";2011;f;"";"";""
6248;"Tesla Model S";;f;"";"Owned by Participant";""
3126;"Tesla Model S";;f;"";"";""
8857;"Tesla Model S";;f;"";"Owned by Participant";""
7719;"Chevrolet Volt";;f;"";"Owned by Participant";""
8197;"Brammo Empulse Motorcycle";;f;"";"Owned by Participant";""
4830;"Nissan Leaf";2013;f;"";"Owned by Participant";""
5749;"Tesla Model S";;f;"";"Owned by Participant";""
624;"Nissan Leaf";2013;t;"";"Owned by Participant";""
6691;"Tesla Model S";;f;"";"Owned by Participant";""
8741;"Nissan Leaf";2015;f;"";"Owned by Participant";""
