dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,num_residents,profile_type
7108,yes,Single-Family Home,"","",yes,"","",CCET - UT Text,"",Austin,Texas,yes,2011-11-22,"",2011,1435,602,833,0,0,0, , ,yes, , , ,,"","",2012-04-11 18:58:42-05,2013-05-10 16:29:26-05,"","","","",2012-05-18 19:00:00-05,2015-05-31 02:59:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,2
7682,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2011-11-22,"",2008,1948,,,,,, , ,yes, , , ,,"","",2012-04-11 18:59:49-05,2013-05-10 16:29:04-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,2
7739,yes,Single-Family Home,"","",yes,"","",CCET - Text Message,"",Austin,Texas,yes,2011-11-22,"",2008,1439,1439,0,0,0,, , , , , , ,,"","",2012-04-11 18:59:59-05,2013-05-10 16:29:01-05,"","","","",2012-05-02 19:00:00-05,2015-05-31 03:59:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,2
8386,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2011-11-22,"",,,,,,,, , ,yes, , , ,,"","",2012-11-17 17:57:47-06,2013-05-10 16:05:15-05,"","","","",2014-05-21 00:00:00-05,2015-05-31 02:59:00-05,yes,"","","","","","",yes,"","","","","",yes,"","","",yes,yes,"",yes,"",yes,"","","","",yes,"","","","",yes,"",yes,yes,"","","","","","",yes,"",yes,"","","",yes,"","","","","",yes,yes,"","","","",yes,"","","","","",,0
9600,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2011-11-22,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:58-05,2013-05-10 16:29:36-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
9773,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2011-11-22,"",,,,,,,, , ,yes, ,yes,yes,,"","",2012-04-11 18:52:33-05,2013-05-10 16:29:00-05,"","","","",2014-05-31 19:00:00-05,2015-01-04 17:59:00-06,yes,"","","","",yes,"",yes,yes,yes,"","","",yes,"","","",yes,"",yes,"","",yes,"","","","",yes,"","","","","","",yes,yes,"","","","","","","","",yes,"","","",yes,"","","","","","",yes,yes,yes,"",yes,yes,"","","","","",4,0
3632,"",Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2012-02-02,2013-05-31,,,,,,,, , , , , , ,,"","",2012-04-14 15:01:52-05,2013-05-10 15:56:14-05,"","","","",2012-05-02 01:00:00-05,2013-05-31 00:00:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,0
1632,yes,Single-Family Home,"","",yes,"","",CCET - UT Text,"",Austin,Texas,"",2012-03-08,"",,,,,,,, , , , , ,yes,,"","","","","","","","",2013-03-15 00:00:00-05,2015-05-31 02:52:00-05,yes,yes,yes,"","",yes,"","","","","","","",yes,"","","",yes,yes,yes,yes,"",yes,yes,yes,yes,"",yes,"","","","","","",yes,yes,yes,yes,"","","","","","",yes,"",yes,yes,"","","","","","",yes,yes,"","","","",yes,"","",yes,"","",2,0
3392,yes,Single-Family Home,"","",yes,"","",CCET - Portal Only,"",Austin,Texas,"",2012-03-08,"",,,,,,,, , , , , , ,,"","","","","","","","",2013-02-16 18:00:00-06,2015-05-31 02:59:00-05,"","","","","","","","","","","","","",yes,"","","","",yes,"",yes,"",yes,"","","","",yes,"","","","","","",yes,"","","","","","","","","",yes,"","","","","","","","","","",yes,"","","","",yes,"","","","","",,0
991,"",Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2012-03-19,2012-08-31,,,,,,,, , , ,yes, , ,,"","","","","","","","",2012-05-02 01:00:00-05,2012-08-31 00:00:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,0
7856,"",Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,2012-08-31,,,,,,,, , , , , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
9620,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2011-11-22,"",2007,2345,1385,960,0,0,0, , ,yes, , , ,,"","",2012-04-12 18:53:31-05,2013-05-10 16:29:36-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,1
8852,yes,Single-Family Home,"","",yes,"","",CCET - Pricing Trial,"",Austin,Texas,"",2011-11-22,"",2011,1459,602,857,0,0,0, , ,yes, , , ,,"","",2012-04-11 18:59:41-05,2013-05-10 16:29:53-05,"","","","",2013-06-04 19:00:00-05,2014-10-14 18:59:00-05,"","","","","",yes,"",yes,"","","","","",yes,"",yes,"",yes,yes,"","","",yes,"","","","",yes,"","","","","","",yes,"","","","","","","","","",yes,"","","","","","","","","","",yes,"","","","",yes,"","","","","",,2
9982,yes,Single-Family Home,"","",yes,yes,"",CCET - Pricing Trial,"",Austin,Texas,yes,2011-11-22,"",2008,1422,,,,,, ,yes,yes, ,yes, ,,"","",2012-04-11 18:37:36-05,2013-05-10 16:28:05-05,"","","","",2012-10-24 08:52:00-05,2015-05-31 03:59:00-05,yes,"","","","","","",yes,yes,"","","","",yes,"","","",yes,yes,yes,"","",yes,"","","",yes,yes,"","","","","","",yes,yes,yes,"","","","","","","",yes,"","","",yes,"","","","","","",yes,yes,"","","",yes,"","","","","",,2
5210,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-08,"",1949,1027,1027,0,0,0,0, , , ,yes, , ,,"","",2012-04-11 15:05:24-05,2013-05-10 13:57:21-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,2
7919,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2011-11-22,"",2008,3246,1706,1540,0,0,0, , , , , , ,,"","",2012-04-11 18:58:31-05,2013-05-10 16:29:29-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,3
7965,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2011-11-22,"",2009,3242,1540,1702,0,0,0, , , , , , ,2,"","",2012-04-11 18:59:25-05,2013-05-10 16:29:48-05,"","","","",2013-12-03 00:00:00-06,2015-05-07 02:59:00-05,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,3
8467,yes,Single-Family Home,"","",yes,"","",CCET - Text Message,"",Austin,Texas,yes,2011-11-22,"",2011,3165,,,,,, , ,yes, , , ,,2014-09-24 17:49:01-05,2015-05-31 02:59:02-05,2012-10-08 14:10:45-05,2014-02-07 00:16:06-06,2012-07-10 18:00:00-05,2015-05-30 23:57:08.39744-05,"","",2013-04-21 19:00:00-05,2015-05-31 02:38:00-05,yes,"","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,3
6979,"",Single-Family Home,"","",yes,"","",CCET - UT Text,"",Austin,Texas,yes,2012-03-19,2013-06-13,,,,,,,, , , , , , ,,"","","","","","","","",2012-05-11 01:00:00-05,2013-06-13 00:00:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,0
6112,"",Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2012-03-19,2013-06-25,,,,,,,, , , , , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
77,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2012-03-19,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:45-05,2013-05-10 16:29:40-05,"","","","",2014-06-06 00:00:00-05,2015-05-31 03:59:00-05,yes,"","","","","","","","","","","","","","","","","","","","","",yes,"","","",yes,yes,yes,"","","","","","","","","","","","","","","","","","","",yes,"","","","","","","","","","","",yes,"","","","","",,0
1413,yes,Town Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:58:26-05,2013-05-10 16:29:32-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,4
1947,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,"",,,,,,,, , , , , , ,,"","",2012-12-19 21:58:06-06,2013-01-23 10:16:26-06,"","","","",2013-08-22 19:00:00-05,2015-04-15 03:59:00-05,yes,"","","","","","","","","","","","","","","","",yes,yes,yes,"","","","","","","",yes,"","","","",yes,yes,"","","","","","","","","","","","","","","","","","",yes,"","",yes,"","","","",yes,"","","","","",,0
3301,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,"",,,,,,,, , , , ,yes, ,,"","",2012-04-11 18:59:58-05,2013-05-10 16:26:27-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
3849,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2012-03-19,"",,,,,,,, , , , , ,yes,,"","",2012-04-11 18:59:24-05,2013-05-10 16:29:00-05,"","","","",2014-08-28 00:00:00-05,2015-05-31 02:59:00-05,yes,"","","","",yes,"","","","","","","",yes,"","","",yes,yes,"",yes,"",yes,"","","",yes,yes,"","","","","","",yes,yes,yes,"","","","","","","",yes,"","","",yes,"","","","","","",yes,"",yes,"","",yes,"",yes,"","","",2,0
4356,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:36-05,2013-05-10 16:29:29-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
4352,yes,Town Home,"","",yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2012-03-19,"",2008,1946,1001,945,,,, ,yes, ,yes, , ,,"","",2012-04-11 18:55:01-05,2014-02-06 21:39:46-06,2012-05-01 18:00:00-05,2015-05-29 18:36:18.372452-05,"","",2012-05-23 19:00:00-05,2015-05-31 03:59:00-05,yes,"","","","",yes,"",yes,yes,"","","",yes,yes,"","","",yes,"",yes,"","",yes,"","","",yes,yes,"","","",yes,"","",yes,yes,"","","","","","","","",yes,yes,"","",yes,"","","","","",yes,yes,"","","","",yes,yes,"","","","",,4
5131,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:51-05,2013-05-10 16:28:08-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
7117,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:52:33-05,2013-05-10 16:29:16-05,"","","","",2014-05-29 00:00:00-05,2015-05-31 02:42:00-05,yes,"","","","",yes,"",yes,"","","","","",yes,"","","",yes,yes,yes,"","","","","","","",yes,"","","","","","",yes,yes,"","","","","","",yes,"",yes,yes,"","",yes,"","","","","","",yes,"","","","",yes,"","","","","",,0
7566,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,"",,,,,,,, , , , , ,yes,,"","",2012-04-11 18:59:48-05,2013-05-10 16:29:21-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3,0
6407,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-08-29,"",,,,,,,, , , , ,yes, ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
8059,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2012-03-19,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:33-05,2013-05-10 16:29:59-05,"","","","",2014-08-31 10:52:00-05,2015-05-31 02:59:00-05,"","","","","",yes,"","","","","","","",yes,"","","",yes,yes,"","","",yes,"",yes,"",yes,yes,"","","","","","",yes,yes,yes,yes,"","","","","","",yes,"","","","","","","","","","",yes,"","","","",yes,"","","","","",,0
8911,yes,Town Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:48-05,2013-05-10 16:29:49-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,4
8956,yes,Town Home,"","",yes,"","",CCET - Pricing Trial,"",Austin,Texas,"",2012-03-19,"",2009,1240,620,620,0,0,0, , , , ,yes, ,,"","",2012-04-11 18:58:58-05,2013-05-10 16:29:02-05,"","","","",2013-02-28 18:00:00-06,2015-05-31 02:59:00-05,yes,"","","","",yes,"",yes,"","","","","",yes,"","","",yes,yes,yes,"","",yes,"","","","",yes,"","","","","","",yes,yes,yes,yes,"","","","","","",yes,"","","","","","","","","",yes,yes,"","","","",yes,"","","","","",,4
7304,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-23,"",,,,,,,, , , , , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
7767,yes,Single-Family Home,"","",yes,"","",CCET - Portal Only,"",Austin,Texas,yes,2012-03-19,"",2008,1252,1252,0,0,0,0, , , , , , ,,"","",2012-04-11 18:59:37-05,2013-05-10 16:29:13-05,"","","","",2012-05-02 19:00:00-05,2015-05-31 02:59:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,2
2072,yes,Single-Family Home,"","",yes,"","",CCET - UT Text,"",Austin,Texas,yes,2012-03-19,"",2008,3023,1473,1550,0,0,0, , , , , , ,,"","",2012-04-11 18:59:53-05,2013-05-10 16:29:56-05,"","","","",2012-05-15 19:00:00-05,2015-05-31 02:59:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,3
4029,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-03-19,"",2008,3023,1473,1550,0,0,0, , , , , , ,,"","",2012-04-11 18:58:54-05,2013-05-10 16:29:27-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,3
9248,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2012-03-19,"",2007,3754,1920,1665,169,0,0, , , ,yes, ,yes,,"","",2012-04-12 17:47:45-05,2013-05-10 16:22:25-05,"","","","",2013-11-15 18:00:00-06,2015-05-31 02:59:00-05,yes,yes,"","","",yes,"","","","","","","","","","","",yes,yes,yes,"","",yes,yes,"","",yes,yes,"","","","","","",yes,yes,"","","","","","","","",yes,"","","","","","","","","",yes,yes,"","","","",yes,"",yes,"","","",1,3
1042,yes,Town Home,"","",yes,"","","","",Austin,Texas,"",2012-05-02,"",,,,,,,, , , , ,yes, ,,"","",2012-04-11 18:57:47-05,2013-05-10 16:29:38-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,4
946,yes,Single-Family Home,"","",yes,"","",CCET - Control,"",Austin,Texas,"",2012-04-17,"",,,,,,,, , , ,yes,yes,yes,,"","",2012-04-11 18:08:05-05,2013-05-10 16:29:42-05,"","","","",2014-04-25 00:00:00-05,2015-05-31 03:59:00-05,yes,"","","","",yes,"","","","","","","",yes,"","","",yes,yes,"",yes,"",yes,"","","","",yes,"","","","","","",yes,yes,"","","","","","",yes,"",yes,yes,yes,"","","","","","","","",yes,"","","",yes,yes,"","","","","",1,0
1473,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-04-17,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:44-05,2013-05-10 16:29:30-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
6773,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-04-17,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:58:50-05,2013-05-10 16:28:14-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
7641,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-04-17,"",,,,,,,, , , , ,yes, ,,"","",2012-04-11 18:59:41-05,2013-05-10 16:29:22-05,"","","","",2014-05-28 19:00:00-05,2014-10-15 18:59:00-05,yes,"","","","","","","",yes,"","","","",yes,"","","",yes,yes,yes,"","",yes,"",yes,"","",yes,"","","",yes,"","",yes,yes,yes,yes,"","","","","","",yes,"","","",yes,"","","","","","",yes,"","","","",yes,"","","","","",,0
6524,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-04-19,"",,,,,,,, , , ,yes,yes,yes,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,0
3146,"",Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-04-26,2013-01-04,,,,,,,, , , ,yes, , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
1556,yes,Town Home,"","",yes,"","","","",Austin,Texas,"",2012-05-08,"",,,,,,,, , , , ,yes, ,,"","",2012-04-11 18:39:09-05,2013-05-10 16:29:38-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,4
9849,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-04-30,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:20-05,2013-05-10 16:28:27-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
7881,yes,Single-Family Home,"","",yes,"","",CCET - UT Text,"",Austin,Texas,"",2012-05-01,"",,,,,,,, , , , , , ,,"","","","","","","","",2014-09-06 19:00:00-05,2014-11-20 17:59:00-06,yes,"","","","",yes,"",yes,"","","","","",yes,"","","","","",yes,"","",yes,"","","","",yes,"","","","",yes,"",yes,yes,yes,yes,"","","","","","",yes,"","","","","","","","","","",yes,"","","","",yes,"","","","","",,0
417,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-05-04,"",,,,,,,, , , , , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
2615,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-05-04,"",,,,,,,, , , , , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
4187,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-05-04,"",,,,,,,, , , , , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
6182,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-05-04,"",,,,,,,, , , , , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
4092,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-05-08,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:45-05,2013-05-10 16:29:53-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
9944,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-05-08,"",,,,,,,, , , , , , ,,"","",2012-04-11 18:59:48-05,2013-05-10 16:29:17-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
1619,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-05-09,"",,,,,,,, , , , , , ,,"","",2012-10-08 14:10:29-05,2013-05-10 16:29:45-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
5677,yes,Single-Family Home,"","",yes,"","",CCET - UT Text,"",Austin,Texas,"",2012-04-04,"",1948,996,,,,,, ,yes, ,yes,yes, ,,"","","","","","","","",2013-02-28 18:00:00-06,2015-05-31 02:39:00-05,yes,"","","","",yes,"","","","","","","",yes,"","","","","",yes,yes,"",yes,"","","","",yes,"",yes,"","","","",yes,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,2
4641,yes,Single-Family Home,"","",yes,"","",CCET - Pricing Trial,"",Austin,Texas,"",2012-04-26,"",2009,1518,759,759,0,0,0, , , , , , ,1,"","","","","","","","",2012-12-12 18:00:00-06,2015-05-31 03:59:00-05,yes,"","","","","","","","","","","",yes,yes,"","","",yes,"",yes,"","",yes,"","","","",yes,"","","","",yes,"","","","","","","","","","","","","","","","","","","","","","",yes,"","","","",yes,"",yes,yes,"","",,2
9830,"",Single-Family Home,"","",yes,"","",CCET - UT Text,"",Austin,Texas,"",2012-05-01,2014-07-21,1968,1905,1905,0,0,0,0, , , , , , ,,"","","","","","","","",2012-09-27 01:00:00-05,2014-07-20 18:59:00-05,yes,"","","","","","",yes,yes,"","","",yes,yes,"","","","","",yes,"","",yes,"","","","",yes,"","","","","","","","","","","","","","","","","","","","","","",yes,"",yes,"","","","","","","",yes,"","","","","",,2
6826,"",Single-Family Home,"","",yes,"","",CCET - Portal Only,"",Austin,Texas,"",2012-05-02,2014-10-31,2005,1248,514,734,0,0,0, , , , , , ,,"","","","","","","","",2013-03-22 00:00:00-05,2014-09-21 18:59:00-05,yes,"","","","","","","","","","","","",yes,"","","",yes,"","",yes,"",yes,"","","","",yes,"","","","","","",yes,yes,"","","","","","","","",yes,"","","","","","","","","","",yes,"","","","",yes,"","","","","",,2
9875,yes,Single-Family Home,"","",yes,"","",CCET - Control,"",Austin,Texas,"",2012-05-04,"",1939,1241,,,,,, , , ,yes, , ,,"","","","","","","","",2013-03-20 19:00:00-05,2015-05-31 03:59:00-05,yes,"","","","",yes,"","","","","","","","",yes,"","",yes,yes,"","","",yes,"","","","",yes,"","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","",yes,yes,"","","","",yes,"","","","","",,2
7510,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,yes,2012-04-26,"",1991,3780,1939,1841,0,0,0, ,yes, ,yes,yes, ,2,"","","","","","","","",2012-08-17 19:00:00-05,2015-05-31 03:59:00-05,yes,yes,"","","",yes,"",yes,yes,yes,yes,yes,"",yes,"","","","","",yes,"","",yes,yes,yes,"",yes,yes,"","","","",yes,"","","",yes,"","","","","",yes,"","",yes,"","",yes,"","","","","","",yes,"","","","",yes,"","",yes,"","",,3
3500,yes,Single-Family Home,"","",yes,"","",CCET - Text Message,"",Austin,Texas,"",2012-05-10,"",2001,3090,2000,1090,0,0,0, ,yes, , , ,yes,2,"","","","","","","","",2012-08-07 19:00:00-05,2015-05-25 02:59:00-05,yes,yes,"","","","","","","","","","","",yes,"",yes,"",yes,"","",yes,"",yes,yes,"","","",yes,"","","","",yes,yes,"","","","","","","","","","",yes,yes,"","",yes,"","","",yes,"","",yes,"","","","",yes,"","","","","",3,3
5357,yes,Single-Family Home,"","",yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2012-05-11,"",,,,,,,, , , , ,yes,yes,,"","","","","","","","",2012-09-27 19:00:00-05,2015-05-31 03:59:00-05,yes,"","","","",yes,"",yes,"","","","",yes,yes,"","","",yes,yes,"",yes,"","","","","",yes,yes,"","","","",yes,"","","","","","","","","",yes,"",yes,"","","",yes,yes,"","",yes,"",yes,yes,"","","","",yes,"","",yes,"","",4,0
3235,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-05-17,"",,,,,,,, , , , , ,yes,,"","","","","","","","",2013-08-20 19:00:00-05,2014-10-03 18:59:00-05,"","","",yes,"","","","","","","","","",yes,"","","","","",yes,"","","","","","","",yes,"","","","","","","","",yes,yes,"","","","","","","","",yes,"","","","","","","","",yes,"","","","",yes,"","","","","",1,0
2946,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2012-05-18,"",,,,,,,, , , , ,yes, ,,"","",2012-04-11 18:58:31-05,2013-05-10 16:29:44-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
