dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,num_residents,profile_type
114,yes,Single-Family Home,"",yes,yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2011-02-01,"",2008,1842,1379,463,0,,,yes,yes,yes,yes, ,yes,,"","",2012-04-11 18:59:25-05,2013-05-10 16:29:18-05,"","","","",2013-10-15 19:00:00-05,2015-05-31 02:59:00-05,yes,"","","","",yes,"",yes,yes,"","","",yes,yes,"","","",yes,"",yes,"","",yes,"","","",yes,yes,"","","","","","",yes,yes,yes,"","","","","",yes,"",yes,"","","","","","","","","","",yes,"","","","",yes,"","","","","",4,2
585,yes,Single-Family Home,"",yes,yes,"","",CCET - UT Text,"",Austin,Texas,yes,2011-02-01,"",2008,1720,1720,0,0,,,yes, , ,yes, , ,,"","",2012-04-11 18:59:05-05,2013-05-10 16:29:44-05,"","","","",2012-01-01 00:00:00-06,2015-05-31 03:59:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,2
661,yes,Single-Family Home,"",yes,yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2011-02-01,"",2007,1842,1379,463,0,,,yes, ,yes, ,yes,yes,,"","",2012-05-25 06:30:18-05,2013-05-10 16:16:24-05,"","","","",2013-09-07 19:00:00-05,2015-05-31 02:58:00-05,yes,"","","","",yes,"","","","","","",yes,yes,"","","",yes,yes,yes,"","",yes,"","","",yes,yes,"","","","","","",yes,yes,"","","","","","","","",yes,"","","","","","","","","","",yes,"","","","",yes,"","","","","",2,2
1852,yes,Town Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,"",2008,1240,620,620,0,,,yes, ,yes, , ,yes,,"","",2012-04-11 18:58:55-05,2013-05-10 16:29:05-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,4
2345,yes,Town Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,"",2008,1748,1010,738,0,,,yes, ,yes, ,yes,yes,,"","",2012-04-11 18:59:51-05,2013-05-10 16:29:16-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,4
2638,yes,Town Home,"",yes,yes,"","",CCET - UT Text,"",Austin,Texas,yes,2011-02-01,"",2008,1970,1013,957,0,0,0,yes, ,yes,yes, ,yes,,"","",2012-04-12 09:52:15-05,2013-05-10 16:29:02-05,"","","","",2012-05-11 01:00:00-05,2015-05-31 02:59:00-05,yes,"","","","","","","","","","","",yes,"","","","","","",yes,"","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",3,4
2653,yes,Town Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,"",2008,2020,1074,946,0,,,yes, ,yes,yes, , ,,"","",2012-04-11 18:59:41-05,2013-05-10 16:28:58-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,4
1642,yes,Single-Family Home,"",yes,yes,"","",CCET - Control,"",Austin,Texas,yes,2011-02-01,"",2007,1720,1720,0,0,,,yes, ,yes,yes,yes,yes,,"","",2012-11-17 17:54:40-06,2013-05-10 15:57:04-05,"","","","",2012-05-11 19:00:00-05,2015-05-31 03:59:00-05,yes,"","","","",yes,"","","","","","",yes,yes,"","","",yes,yes,"",yes,"",yes,"","","",yes,yes,"","","",yes,"","",yes,yes,yes,yes,"","","","",yes,"",yes,"","","",yes,"","","","","",yes,yes,"","","","",yes,"","","","","",3,2
2337,yes,Single-Family Home,"",yes,yes,"","",CCET - Portal Only,"",Austin,Texas,yes,2011-02-01,"",2008,1439,1439,0,0,,,yes, ,yes, , , ,,"","",2012-04-11 18:51:27-05,2013-05-10 16:29:56-05,"","","","",2012-05-11 19:00:00-05,2015-05-31 02:59:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,2
2575,yes,Single-Family Home,"",yes,yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2011-02-01,"",2008,1439,1439,0,0,,,yes, ,yes,yes, ,yes,,"","",2012-04-11 18:57:46-05,2013-05-10 16:29:41-05,"","","","",2012-11-09 00:00:00-06,2015-05-31 03:59:00-05,yes,"","","","","","",yes,yes,"","","","",yes,"","","",yes,yes,yes,"","",yes,"","","",yes,yes,"","","","","","",yes,yes,yes,yes,"","","","","","",yes,"","","","","","","","","","",yes,"","","","",yes,"","","","","",1,2
