"notificationID";"pricingeventID";"notification_time";"notification_type";"notification_notes";"group_name"
200;12;"2013-09-12 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
201;12;"2013-09-12 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
202;12;"2013-09-12 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
203;12;"2013-09-12 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
204;12;"2013-09-12 17:00:00-05";"SMS";"Critical Peak Pricing event Please ""pre-cool"" your home prior to event; raise your thermostat by 4 degrees between 4 p.m. and 7 p.m. Pecan Street Inc.";"Action"
206;12;"2013-09-12 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
205;12;"2013-09-12 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
300;-1;"2013-10-31 18:00:00-05";"Email";"Subject: Pricing Trial Reminder: November and December are wind enhancement months";"Pricing"
407;14;"2014-06-29 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
408;14;"2014-06-29 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
409;14;"2014-06-29 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
410;14;"2014-06-29 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
411;14;"2014-06-29 17:00:00-05";"SMS";"Critical Peak Pricing event Please do not use your range/oven between the hours of 4 p.m. and 7 p.m. tomorrow. Pecan Street Inc.";"Action"
412;14;"2014-06-29 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
413;14;"2014-06-29 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
414;15;"2014-07-01 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
415;15;"2014-07-01 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
416;15;"2014-07-01 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
417;15;"2014-07-01 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
418;15;"2014-07-01 18:00:00-05";"SMS";"Please ""pre-cool"" your home prior to event; raise your thermostat by 4 degrees between 4 p.m. and 7 p.m.";"Action"
419;15;"2014-07-01 18:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
420;15;"2014-07-01 18:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
421;16;"2014-07-13 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
422;16;"2014-07-13 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
423;16;"2014-07-13 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
424;16;"2014-07-13 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
425;16;"2014-07-13 18:00:00-05";"SMS";"Critical Peak Pricing event Please do not use your clothes dryer between the hours of 4 p.m. and 7 p.m. tomorrow. Pecan Street Inc.";"Action"
426;16;"2014-07-13 18:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
427;16;"2014-07-13 18:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
442;19;"2014-08-07 19:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
443;19;"2014-08-07 19:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
444;19;"2014-08-07 19:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
445;19;"2014-08-07 19:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
446;19;"2014-08-07 19:00:00-05";"SMS";"Critical Peak Pricing event Please do not use your clothes dryer between the hours of 4 p.m. and 7 p.m.";"Action"
447;19;"2014-08-07 19:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
448;19;"2014-08-07 19:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
1;20;"2014-08-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
2;20;"2014-08-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
3;20;"2014-08-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
4;20;"2014-08-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
5;20;"2014-08-14 17:00:00-05";"SMS";"Critical Peak Pricing event Please do not use your range/oven between the hours of 4 p.m. and 7 p.m. tomorrow. Pecan Street Inc.";"Action"
6;20;"2014-08-14 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
7;20;"2014-08-14 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
8;21;"2014-08-18 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
9;21;"2014-08-18 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
10;21;"2014-08-18 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
11;21;"2014-08-18 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
12;21;"2014-08-18 17:00:00-05";"SMS";"Critical Peak Pricing event To participate, please ""pre-cool"" your home prior to the event; then, raise your thermostat by four degrees between 4 and 7 p.m.";"Action"
13;21;"2014-08-18 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
14;21;"2014-08-18 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
441;18;"2014-07-27 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
440;18;"2014-07-27 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
439;18;"2014-07-27 17:00:00-05";"SMS";"Critical Peak Pricing event. Please ""pre-cool"" your home prior to event; raise your thermostat by 4 degrees between 4 p.m. and 7 p.m. Pecan Street Inc.";"Action"
438;18;"2014-07-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
437;18;"2014-07-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
436;18;"2014-07-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
435;18;"2014-07-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
15;22;"2014-08-20 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
16;22;"2014-08-20 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
17;22;"2014-08-20 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
18;22;"2014-08-20 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
19;22;"2014-08-20 17:00:00-05";"SMS";"Critical Peak Pricing event To participate, please do not use your clothes dryer between 4 and 7 p.m.";"Action"
20;22;"2014-08-20 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
21;22;"2014-08-20 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
22;23;"2014-08-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
23;23;"2014-08-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
24;23;"2014-08-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
25;23;"2014-08-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
26;23;"2014-08-25 17:00:00-05";"SMS";"We are writing to let you know that tomorrow an experimental Critical Peak Pricing event will take place from 4 – 7 p.m. To participate, please do not use your range/oven between these hours.";"Action"
