"localhour";"latitude";"longitude";"tz_offset";"summary";"ozone";"ozone_error";"temperature";"temperature_error";"dew_point";"dew_point_error";"humidity";"humidity_error";"visibility";"visibility_error";"apparent_temperature";"apparent_temperature_error";"pressure";"pressure_error";"wind_speed";"wind_speed_error";"cloud_cover";"cloud_cover_error";"wind_bearing";"precip_intensity";"precip_intensity_error";"precip_probability";"precip_type"
"2013-08-01 07:00:00-05";40.027278;-105.256111;-6;"Clear";;;59.03;;53.06;;0.81;;9.63;;59.03;;;;5;;0;;220;0;;0;""
"2013-08-01 08:00:00-05";40.027278;-105.256111;-6;"Clear";;;62.81;;51.51;;0.67;;10;;62.81;;;;7;;0;;250;0;;0;""
"2013-08-01 09:00:00-05";40.027278;-105.256111;-6;"Clear";;;68.08;;52.69;;0.58;;10;;68.08;;;;;;0;;;0;;0;""
"2013-08-01 10:00:00-05";40.027278;-105.256111;-6;"Clear";;;71.98;;50.34;;0.46;;10;;71.98;;;;0;;0;;;0;;0;""
"2013-08-01 11:00:00-05";40.027278;-105.256111;-6;"Clear";;;75.78;;49.36;;0.39;;10;;75.78;;;;0.8;;0;;210;0;;0;""
"2013-08-01 12:00:00-05";40.027278;-105.256111;-6;"Clear";;;80.66;;47.89;;0.32;;10;;79.73;;;;0.93;;0;;200;0;;0;""
"2013-08-01 13:00:00-05";40.027278;-105.256111;-6;"Clear";;;84.32;;46.78;;0.27;;10;;81.99;;;;1.85;;0;;138;0;;0;""
"2013-08-01 14:00:00-05";40.027278;-105.256111;-6;"Clear";;;88.57;;45.75;;0.23;;10;;85.28;;;;7.57;;0;;359;0;;0;""
"2013-08-01 15:00:00-05";40.027278;-105.256111;-6;"Clear";;;85.93;;45.62;;0.25;;10;;83.11;;;;4.26;;0;;27;0;;0;""
"2013-08-01 16:00:00-05";40.027278;-105.256111;-6;"Clear";;;80.42;;44.63;;0.28;;10;;79.33;;;;2.24;;;;232;0;;0;""
"2013-08-01 17:00:00-05";40.027278;-105.256111;-6;"Clear";;;75.17;;52.04;;0.44;;10;;75.17;;;;8.69;;0;;218;0;;0;""
"2013-08-01 18:00:00-05";40.027278;-105.256111;-6;"Clear";;;77.48;;54.79;;0.46;;10;;77.48;;;;3.2;;0;;197;0;;0;""
"2013-08-01 19:00:00-05";40.027278;-105.256111;-6;"Clear";;;76.98;;53.88;;0.45;;10;;76.98;;;;7.24;;0;;3;0;;0;""
"2013-08-01 20:00:00-05";40.027278;-105.256111;-6;"Clear";;;78.22;;50.58;;0.38;;10;;78.22;;;;2.22;;0;;353;0;;0;""
"2013-08-01 21:00:00-05";40.027278;-105.256111;-6;"Clear";;;72.53;;50.81;;0.46;;10;;72.53;;;;1.59;;0;;1;0;;0;""
"2013-08-01 22:00:00-05";40.027278;-105.256111;-6;"Clear";;;68.93;;51.62;;0.54;;10;;68.93;;;;5.84;;0;;327;0;;0;""
"2013-08-01 23:00:00-05";40.027278;-105.256111;-6;"Clear";;;67.28;;49.85;;0.54;;10;;67.28;;;;4.45;;0;;339;0;;0;""
"2013-08-01 00:00:00-05";32.778033;-117.151885;-7;"Clear";;;64.83;;53.47;;0.67;;10;;64.83;;1016.9;;7.21;;;;310;0;;0;""
"2013-08-01 01:00:00-05";32.778033;-117.151885;-7;"Mostly Cloudy";;;64.35;;53.29;;0.67;;10;;64.35;;1016.87;;5.41;;0.75;;316;0;;0;""
"2013-08-01 02:00:00-05";32.778033;-117.151885;-7;"Clear";;;64.83;;55.14;;0.71;;10;;64.83;;1016.87;;5.83;;;;318;0;;0;""
"2013-08-01 03:00:00-05";32.778033;-117.151885;-7;"Clear";;;64.99;;55.02;;0.7;;10;;64.99;;1016.6;;5.19;;;;340;0;;0;""
"2013-08-01 04:00:00-05";32.778033;-117.151885;-7;"Clear";;;64.99;;55.02;;0.7;;10;;64.99;;1016.04;;5.13;;;;300;0;;0;""
"2013-08-01 05:00:00-05";32.778033;-117.151885;-7;"Clear";;;64.99;;55.02;;0.7;;10;;64.99;;1015.94;;4.2;;;;300;0;;0;""
"2013-08-01 06:00:00-05";32.778033;-117.151885;-7;"Clear";;;64.78;;55.34;;0.71;;10;;64.78;;1015.5;;5.29;;;;310;0;;0;""
"2013-08-01 07:00:00-05";32.778033;-117.151885;-7;"Overcast";;;64.99;;55.02;;0.7;;10;;64.99;;1015.6;;5.47;;1;;297;0;;0;""
"2013-08-01 08:00:00-05";32.778033;-117.151885;-7;"Clear";;;64.78;;55.34;;0.71;;10;;64.78;;1015.97;;5.09;;;;284;0;;0;""
"2013-08-01 09:00:00-05";32.778033;-117.151885;-7;"Clear";;;64.51;;55.35;;0.72;;10;;64.51;;1016.2;;5.09;;;;287;0;;0;""
"2013-08-01 10:00:00-05";32.778033;-117.151885;-7;"Clear";;;65.51;;55.03;;0.69;;10;;65.51;;1016.56;;5.09;;;;295;0;;0;""
"2013-08-01 11:00:00-05";32.778033;-117.151885;-7;"Clear";;;65.81;;54.37;;0.67;;10;;65.81;;1016.8;;5.54;;;;270;0;;0;""
"2013-08-01 12:00:00-05";32.778033;-117.151885;-7;"Clear";;;67.09;;53.86;;0.63;;10;;67.09;;1016.65;;6.97;;;;290;0;;0;""
"2013-08-01 13:00:00-05";32.778033;-117.151885;-7;"Partly Cloudy";;;69.15;;53.74;;0.58;;10;;69.15;;1016.35;;6.93;;0.31;;292;0;;0;""
"2013-08-01 14:00:00-05";32.778033;-117.151885;-7;"Clear";;;70.38;;53.38;;0.55;;10;;70.38;;1016.07;;9.27;;0;;256;0;;0;""
"2013-08-01 15:00:00-05";32.778033;-117.151885;-7;"Clear";;;71.17;;52.74;;0.52;;10;;71.17;;1015.73;;9.97;;;;263;0;;0;""
"2013-08-01 16:00:00-05";32.778033;-117.151885;-7;"Clear";;;71.74;;52.57;;0.51;;10;;71.74;;1015.59;;9.41;;0;;262;0;;0;""
"2013-08-01 17:00:00-05";32.778033;-117.151885;-7;"Clear";;;71.81;;52.34;;0.5;;10;;71.81;;1014.85;;10.75;;0;;266;0;;0;""
"2013-08-01 18:00:00-05";32.778033;-117.151885;-7;"Clear";;;72.11;;52.31;;0.5;;10;;72.11;;1014.27;;8.97;;0;;301;0;;0;""
"2013-08-01 19:00:00-05";32.778033;-117.151885;-7;"Partly Cloudy";;;71.59;;56.01;;0.58;;10;;71.59;;1013.89;;9.26;;0.31;;282;0;;0;""
"2013-08-01 20:00:00-05";32.778033;-117.151885;-7;"Clear";;;70.01;;56.88;;0.63;;9.82;;70.01;;1013.55;;9.21;;;;280;0;;0;""
"2013-08-01 21:00:00-05";32.778033;-117.151885;-7;"Clear";;;68.28;;57.34;;0.68;;9.82;;68.28;;1013.7;;7.78;;;;280;0;;0;""
"2013-08-01 22:00:00-05";32.778033;-117.151885;-7;"Clear";;;66.62;;57.09;;0.71;;9.82;;66.62;;1013.82;;6.59;;;;284;0;;0;""
"2013-08-01 23:00:00-05";32.778033;-117.151885;-7;"Clear";;;65.83;;57.9;;0.76;;9.41;;65.83;;1014.06;;5.43;;0;;286;0;;0;""
