"dataid";"localminute";"use";"air1";"air2";"air3";"airwindowunit1";"aquarium1";"bathroom1";"bathroom2";"bedroom1";"bedroom2";"bedroom3";"bedroom4";"bedroom5";"car1";"clotheswasher1";"clotheswasher_dryg1";"diningroom1";"diningroom2";"dishwasher1";"disposal1";"drye1";"dryg1";"freezer1";"furnace1";"furnace2";"garage1";"garage2";"gen";"grid";"heater1";"housefan1";"icemaker1";"jacuzzi1";"kitchen1";"kitchen2";"kitchenapp1";"kitchenapp2";"lights_plugs1";"lights_plugs2";"lights_plugs3";"lights_plugs4";"lights_plugs5";"lights_plugs6";"livingroom1";"livingroom2";"microwave1";"office1";"outsidelights_plugs1";"outsidelights_plugs2";"oven1";"oven2";"pool1";"pool2";"poollight1";"poolpump1";"pump1";"range1";"refrigerator1";"refrigerator2";"security1";"shed1";"sprinkler1";"unknown1";"unknown2";"unknown3";"unknown4";"utilityroom1";"venthood1";"waterheater1";"waterheater2";"winecooler1"
3299;"2013-12-31 18:25:00-06";0.512;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.512;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.127;;;;;;;;;;;0;;
3299;"2013-12-31 18:26:00-06";0.509;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.509;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.126;;;;;;;;;;;0;;
3299;"2013-12-31 18:27:00-06";0.507;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.507;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.125;;;;;;;;;;;0;;
3299;"2013-12-31 18:28:00-06";0.506;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.506;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.123;;;;;;;;;;;0;;
3299;"2013-12-31 18:29:00-06";0.505;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.505;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.122;;;;;;;;;;;0;;
3299;"2013-12-31 18:30:00-06";0.503;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.503;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.121;;;;;;;;;;;0;;
3299;"2013-12-31 18:31:00-06";0.502;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.502;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.121;;;;;;;;;;;0;;
3299;"2013-12-31 18:32:00-06";0.502;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.502;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.120;;;;;;;;;;;0;;
3299;"2013-12-31 18:33:00-06";0.501;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.501;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.119;;;;;;;;;;;0;;
3299;"2013-12-31 18:34:00-06";0.501;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.501;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.119;;;;;;;;;;;0;;
